"Export for HP:0000252"
"Gene","Associated diseases"
"CLPP (8192)","PERRAULT SYNDROME 3 (OMIM:614129)"
"SPG23 (353293)","SPASTIC PARAPLEGIA 23 (OMIM:270750)"
"NAT8L (339983)","N-ACETYLASPARTATE DEFICIENCY (OMIM:614063)"
"ASXL1 (171023)","BOHRING-OPITZ SYNDROME (OMIM:605039), MYELODYSPLASTIC SYNDROME (OMIM:614286)"
"TREX1 (11277)","VASCULOPATHY, RETINAL, WITH CEREBRAL LEU... (OMIM:192315), SYSTEMIC LUPUS ERYTHEMATOSUS (OMIM:152700), CHILBLAIN LUPUS (OMIM:610448), AICARDI-GOUTIERES SYNDROME 1 (OMIM:225750)"
"AARS (16)","CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYP... (OMIM:613287), EPILEPTIC ENCEPHALOPATHY, EARLY INFANTIL... (OMIM:616339)"
"ERCC1 (2067)","CEREBROOCULOFACIOSKELETAL SYNDROME 4 (OMIM:610758)"
"ERCC2 (2068)","XERODERMA PIGMENTOSUM, COMPLEMENTATION G... (OMIM:278730), TRICHOTHIODYSTROPHY, PHOTOSENSITIVE (OMIM:601675), CEREBROOCULOFACIOSKELETAL SYNDROME 2 (OMIM:610756)"
"PNKP (11284)","MICROCEPHALY, SEIZURES, AND DEVELOPMENTA... (OMIM:613402), ATAXIA-OCULOMOTOR APRAXIA 4 (OMIM:616267)"
"SF3B4 (10262)","ACROFACIAL DYSOSTOSIS 1, NAGER TYPE (OMIM:154400)"
"ERCC3 (2071)","XERODERMA PIGMENTOSUM, COMPLEMENTATION G... (OMIM:610651), TRICHOTHIODYSTROPHY 2, PHOTOSENSITIVE (OMIM:616390)"
"ERCC4 (2072)","XERODERMA PIGMENTOSUM, COMPLEMENTATION G... (OMIM:278760), XFE PROGEROID SYNDROME (OMIM:610965), FANCONI ANEMIA, COMPLEMENTATION GROUP Q (OMIM:615272)"
"ERCC5 (2073)","XERODERMA PIGMENTOSUM, COMPLEMENTATION G... (OMIM:278780)"
"ERCC6 (2074)","UV-SENSITIVE SYNDROME 1 (OMIM:600630), CEREBROOCULOFACIOSKELETAL SYNDROME 1 (OMIM:214150), COCKAYNE SYNDROME, TYPE B (OMIM:133540), LUNG CANCERALVEOLAR CELL CARCINOMA, INCL... (OMIM:211980), DE SANCTIS-CACCHIONE SYNDROME (OMIM:278800)"
"PGAP3 (93210)","HYPERPHOSPHATASIA WITH MENTAL RETARDATIO... (OMIM:615716)"
"RNF168 (165918)","RIDDLE SYNDROME (OMIM:611943)"
"ACADSB (36)","2-@METHYLBUTYRYL-COA DEHYDROGENASE DEFIC... (OMIM:610006)"
"CENPE (1062)","MICROCEPHALY 13, PRIMARY, AUTOSOMAL RECE... (OMIM:616051)"
"CENPF (1063)","CILIARY DYSKINESIA, PRIMARY, 31 (OMIM:616369)"
"AIMP1 (9255)","LEUKODYSTROPHY, HYPOMYELINATING, 3 (OMIM:260600)"
"PDHA1 (5160)","PYRUVATE DEHYDROGENASE E1-ALPHA DEFICIEN... (OMIM:312170)"
"LEMD3 (23592)","BUSCHKE-OLLENDORFF SYNDROME (OMIM:166700), MELORHEOSTOSIS, ISOLATED (OMIM:155950)"
"ORC6 (23594)","MEIER-GORLIN SYNDROME 3 (OMIM:613803)"
"SLC35C1 (55343)","CONGENITAL DISORDER OF GLYCOSYLATION, TY... (OMIM:266265)"
"KDM5C (8242)","MENTAL RETARDATION, X-LINKED, SYNDROMIC,... (OMIM:300534)"
"ACO2 (50)","INFANTILE CEREBELLAR-RETINAL DEGENERATIO... (OMIM:614559), OPTIC ATROPHY 8 (OMIM:616289)"
"SMC1A (8243)","CORNELIA DE LANGE SYNDROME 2 (OMIM:300590)"
"RPS6KA3 (6197)","MENTAL RETARDATION, X-LINKED 19 (OMIM:300844), COFFIN-LOWRY SYNDROME (OMIM:303600)"
"ACTB (60)","DYSTONIA, JUVENILE-ONSET (OMIM:607371), BARAITSER-WINTER SYNDROME 1 (OMIM:243310)"
"KATNB1 (10300)","LISSENCEPHALY 6, WITH MICROCEPHALY (OMIM:616212)"
"GLYCTK (132158)","D-GLYCERIC ACIDURIA (OMIM:220120)"
"GUST (8258)","MENTAL RETARDATION WITH OPTIC ATROPHY, D... (OMIM:309555)"
"NAA10 (8260)","OGDEN SYNDROME (OMIM:300855), MICROPHTHALMIA, SYNDROMIC 1 (OMIM:309800)"
"PEX7 (5191)","PEROXISOME BIOGENESIS DISORDER 9B (OMIM:614879), RHIZOMELIC CHONDRODYSPLASIA PUNCTATA, TY... (OMIM:215100)"
"ACTG1 (71)","DEAFNESS, AUTOSOMAL DOMINANT 20 (OMIM:604717), BARAITSER-WINTER SYNDROME 2 (OMIM:614583)"
"ACTG2 (72)","VISCERAL MYOPATHY (OMIM:155310)"
"MCM4 (4173)","NATURAL KILLER CELL AND GLUCOCORTICOID D... (OMIM:609981)"
"HMGB3 (3149)","MICROPHTHALMIA, SYNDROMIC 13 (OMIM:300915)"
"RPS19 (6223)","DIAMOND-BLACKFAN ANEMIA (OMIM:105650)"
"MCS (4183)","MILES-CARPENTER X-LINKED MENTAL RETARDAT... (OMIM:309605)"
"CHKB (1120)","MUSCULAR DYSTROPHY, CONGENITAL, MEGACONI... (OMIM:602541)"
"ADAR (103)","AICARDI-GOUTIERES SYNDROME 6 (OMIM:615010), DYSCHROMATOSIS SYMMETRICA HEREDITARIA 1 (OMIM:127400)"
